0,0,0.326341
0,1,0.299213
0,2,0.278502
0,3,0.292989
0,4,0.287918
0,5,0.257361
0,6,0.309854
0,7,-0.765808
2,0,0.156243
2,1,0.289158
2,2,-0.0139728
2,3,0.314165
2,4,0.300774
2,5,-0.20055
2,6,0.256842
2,7,0.0392187
3,0,0.137868
3,1,0.31241
3,2,0.0338473
3,3,0.312301
3,4,0.299283
3,5,-0.101568
3,6,0.284594
3,7,-0.398269
4,0,0.117255
4,1,0.319336
4,2,-0.310965
4,3,0.326159
4,4,0.296339
4,5,-0.347701
4,6,0.303001
4,7,-0.765584
5,0,0.0996232
5,1,0.260603
5,2,-0.572287
5,3,0.261936
5,4,0.310703
5,5,-0.508615
5,6,0.255159
5,7,-0.335054
6,0,0.100266
6,1,0.323978
6,2,-0.482182
6,3,0.291992
6,4,0.38068
6,5,-1
6,6,0.266675
6,7,-0.548023
7,0,0.0589109
7,1,0.235215
7,2,-0.542434
7,3,0.259057
7,4,0.37731
7,5,-1
7,6,0.217646
7,7,-0.488846
8,0,0.18052
8,1,0.199359
8,2,-0.735339
8,3,0.290811
8,4,0.336794
8,5,-1
8,6,0.172749
8,7,-0.522555
9,0,0.281596
9,1,0.209519
9,2,-0.759459
9,3,0.279732
9,4,0.297491
9,5,-1
9,6,0.412923
9,7,-0.911091
10,0,0.38902
10,1,0.21509
10,2,-0.700027
10,3,0.255211
10,4,0.221662
10,5,-1
10,6,0.375239
10,7,-0.71298
11,0,0.453619
11,1,0.301846
11,2,-0.155206
11,3,0.188226
11,4,0.296413
11,5,-0.412613
11,6,0.460678
11,7,-0.771716
12,0,-0.319797
12,1,0.109434
12,2,-0.980516
12,3,0.202971
12,4,0.251706
12,5,-1
12,6,-0.417501
12,7,-0.466713
13,0,-0.114507
13,1,-0.194773
13,2,-0.953324
13,3,0.294463
13,4,0.163146
13,5,-0.975808
13,6,-0.391596
13,7,-0.665382
14,0,-0.392401
14,1,-0.0122566
14,2,-0.957664
14,3,0.317491
